model,scenario,variant,variable,grid_type,version,n_files,filenames
ACCESS-CM2,historical,r1i1p1f1,tas,gn,v20191108,4.0,"['tas_day_ACCESS-CM2_historical_r1i1p1f1_gn_18500101-18991231.nc', 'tas_day_ACCESS-CM2_historical_r1i1p1f1_gn_19000101-19491231.nc', 'tas_day_ACCESS-CM2_historical_r1i1p1f1_gn_19500101-19991231.nc', 'tas_day_ACCESS-CM2_historical_r1i1p1f1_gn_20000101-20141231.nc']"
ACCESS-CM2,historical,r1i1p1f1,pr,gn,v20191108,4.0,"['pr_day_ACCESS-CM2_historical_r1i1p1f1_gn_18500101-18991231.nc', 'pr_day_ACCESS-CM2_historical_r1i1p1f1_gn_19000101-19491231.nc', 'pr_day_ACCESS-CM2_historical_r1i1p1f1_gn_19500101-19991231.nc', 'pr_day_ACCESS-CM2_historical_r1i1p1f1_gn_20000101-20141231.nc']"
ACCESS-CM2,historical,r1i1p1f1,psl,gn,v20191108,4.0,"['psl_day_ACCESS-CM2_historical_r1i1p1f1_gn_18500101-18991231.nc', 'psl_day_ACCESS-CM2_historical_r1i1p1f1_gn_19000101-19491231.nc', 'psl_day_ACCESS-CM2_historical_r1i1p1f1_gn_19500101-19991231.nc', 'psl_day_ACCESS-CM2_historical_r1i1p1f1_gn_20000101-20141231.nc']"
ACCESS-CM2,historical,r1i1p1f1,uas,gn,v20191108,2.0,"['uas_day_ACCESS-CM2_historical_r1i1p1f1_gn_19500101-19991231.nc', 'uas_day_ACCESS-CM2_historical_r1i1p1f1_gn_20000101-20141231.nc']"
ACCESS-CM2,historical,r1i1p1f1,vas,gn,v20191108,2.0,"['vas_day_ACCESS-CM2_historical_r1i1p1f1_gn_19500101-19991231.nc', 'vas_day_ACCESS-CM2_historical_r1i1p1f1_gn_20000101-20141231.nc']"
ACCESS-CM2,historical,r1i1p1f1,evspsbl,,,,
ACCESS-CM2,historical,r1i1p1f1,mrro,gn,v20191108,2.0,"['mrro_day_ACCESS-CM2_historical_r1i1p1f1_gn_19500101-19991231.nc', 'mrro_day_ACCESS-CM2_historical_r1i1p1f1_gn_20000101-20141231.nc']"
ACCESS-CM2,historical,r1i1p1f1,mrsos,gn,v20191108,4.0,"['mrsos_day_ACCESS-CM2_historical_r1i1p1f1_gn_18500101-18991231.nc', 'mrsos_day_ACCESS-CM2_historical_r1i1p1f1_gn_19000101-19491231.nc', 'mrsos_day_ACCESS-CM2_historical_r1i1p1f1_gn_19500101-19991231.nc', 'mrsos_day_ACCESS-CM2_historical_r1i1p1f1_gn_20000101-20141231.nc']"
ACCESS-CM2,historical,r1i1p1f1,prsn,gn,v20191108,2.0,"['prsn_day_ACCESS-CM2_historical_r1i1p1f1_gn_19500101-19991231.nc', 'prsn_day_ACCESS-CM2_historical_r1i1p1f1_gn_20000101-20141231.nc']"
ACCESS-CM2,historical,r1i1p1f1,snd,,,,
