model,scenario,variant,frequency,variable,grid_type,version,filename,start_year,start_month,start_day,end_year,end_month,end_day
CESM2,historical,r11i1p1f1,day,tas,gn,v20190514,tas_day_CESM2_historical_r11i1p1f1_gn_18500101-18591231.nc,1850,1,1,1859,12,31
CESM2,historical,r11i1p1f1,day,tas,gn,v20190514,tas_day_CESM2_historical_r11i1p1f1_gn_18600101-18691231.nc,1860,1,1,1869,12,31
CESM2,historical,r11i1p1f1,day,tas,gn,v20190514,tas_day_CESM2_historical_r11i1p1f1_gn_18700101-18791231.nc,1870,1,1,1879,12,31
CESM2,historical,r11i1p1f1,day,tas,gn,v20190514,tas_day_CESM2_historical_r11i1p1f1_gn_18800101-18891231.nc,1880,1,1,1889,12,31
CESM2,historical,r11i1p1f1,day,tas,gn,v20190514,tas_day_CESM2_historical_r11i1p1f1_gn_18900101-18991231.nc,1890,1,1,1899,12,31
CESM2,historical,r11i1p1f1,day,tas,gn,v20190514,tas_day_CESM2_historical_r11i1p1f1_gn_19000101-19091231.nc,1900,1,1,1909,12,31
CESM2,historical,r11i1p1f1,day,tas,gn,v20190514,tas_day_CESM2_historical_r11i1p1f1_gn_19100101-19191231.nc,1910,1,1,1919,12,31
CESM2,historical,r11i1p1f1,day,tas,gn,v20190514,tas_day_CESM2_historical_r11i1p1f1_gn_19200101-19291231.nc,1920,1,1,1929,12,31
CESM2,historical,r11i1p1f1,day,tas,gn,v20190514,tas_day_CESM2_historical_r11i1p1f1_gn_19300101-19391231.nc,1930,1,1,1939,12,31
CESM2,historical,r11i1p1f1,day,tas,gn,v20190514,tas_day_CESM2_historical_r11i1p1f1_gn_19400101-19491231.nc,1940,1,1,1949,12,31
CESM2,historical,r11i1p1f1,day,tas,gn,v20190514,tas_day_CESM2_historical_r11i1p1f1_gn_19500101-19591231.nc,1950,1,1,1959,12,31
CESM2,historical,r11i1p1f1,day,tas,gn,v20190514,tas_day_CESM2_historical_r11i1p1f1_gn_19600101-19691231.nc,1960,1,1,1969,12,31
CESM2,historical,r11i1p1f1,day,tas,gn,v20190514,tas_day_CESM2_historical_r11i1p1f1_gn_19700101-19791231.nc,1970,1,1,1979,12,31
CESM2,historical,r11i1p1f1,day,tas,gn,v20190514,tas_day_CESM2_historical_r11i1p1f1_gn_19800101-19891231.nc,1980,1,1,1989,12,31
CESM2,historical,r11i1p1f1,day,tas,gn,v20190514,tas_day_CESM2_historical_r11i1p1f1_gn_19900101-19991231.nc,1990,1,1,1999,12,31
CESM2,historical,r11i1p1f1,day,tas,gn,v20190514,tas_day_CESM2_historical_r11i1p1f1_gn_20000101-20091231.nc,2000,1,1,2009,12,31
CESM2,historical,r11i1p1f1,day,tas,gn,v20190514,tas_day_CESM2_historical_r11i1p1f1_gn_20100101-20150101.nc,2010,1,1,2015,1,1
CESM2,ssp126,r11i1p1f1,day,tas,gn,v20200528,tas_day_CESM2_ssp126_r11i1p1f1_gn_20150101-20241231.nc,2015,1,1,2024,12,31
CESM2,ssp126,r11i1p1f1,day,tas,gn,v20200528,tas_day_CESM2_ssp126_r11i1p1f1_gn_20250101-20341231.nc,2025,1,1,2034,12,31
CESM2,ssp126,r11i1p1f1,day,tas,gn,v20200528,tas_day_CESM2_ssp126_r11i1p1f1_gn_20350101-20441231.nc,2035,1,1,2044,12,31
CESM2,ssp126,r11i1p1f1,day,tas,gn,v20200528,tas_day_CESM2_ssp126_r11i1p1f1_gn_20450101-20541231.nc,2045,1,1,2054,12,31
CESM2,ssp126,r11i1p1f1,day,tas,gn,v20200528,tas_day_CESM2_ssp126_r11i1p1f1_gn_20550101-20641231.nc,2055,1,1,2064,12,31
CESM2,ssp126,r11i1p1f1,day,tas,gn,v20200528,tas_day_CESM2_ssp126_r11i1p1f1_gn_20650101-20741231.nc,2065,1,1,2074,12,31
CESM2,ssp126,r11i1p1f1,day,tas,gn,v20200528,tas_day_CESM2_ssp126_r11i1p1f1_gn_20750101-20841231.nc,2075,1,1,2084,12,31
CESM2,ssp126,r11i1p1f1,day,tas,gn,v20200528,tas_day_CESM2_ssp126_r11i1p1f1_gn_20850101-20941231.nc,2085,1,1,2094,12,31
